ID,diametro,altura,massa,resistencia,falha_ensaio,residuo,volume,densidade_aparente,resistencia_especifica,defeito,anomalia,suspeito
251,11.0,16.44,0.9,215.0,0,-108.60222932936193,1562.3454425567402,0.0005760569816923279,238.88888888888889,1,-1,1
242,14.29,24.9,4.4,584.0,0,-147.32669668181984,3993.499974945898,0.0011017904163276248,132.72727272727272,0,-1,1
250,14.72,21.96,3.8,842.0,0,180.56892629288723,3737.126830277433,0.0010168239325497818,221.57894736842107,0,-1,1
195,13.55,27.05,4.2,736.0,0,27.971844309749258,3900.6388432846197,0.0010767466993850928,175.23809523809524,0,-1,1
19,11.62,16.26,1.9,500.0,0,59.905065712792975,1724.3391104826776,0.0011018714291460634,263.15789473684214,0,-1,1
260,13.52,20.2,1.55,260.0,0,-139.32248755196122,2899.977537823035,0.0005344868985307932,167.74193548387098,1,-1,1
252,11.32,19.62,1.15,218.0,0,-134.7254055688232,1974.6118461337542,0.0005823929407957691,189.56521739130437,1,-1,1
138,14.06,26.04,3.5,647.0,0,20.516737780240874,4042.9791591736425,0.000865698254233736,184.85714285714286,0,-1,1
243,14.42,28.3,4.6,636.0,0,-118.62523767338871,4621.754126576404,0.0009952931017140631,138.2608695652174,0,-1,1
85,12.65,18.7,3.4,633.0,0,18.16600827602531,2350.2417611624146,0.001446659682499379,186.1764705882353,0,-1,1
3,10.54,20.84,1.9,403.0,0,-37.094934287207025,1818.3137286091414,0.0010449241899819683,212.10526315789474,1,-1,1
226,12.04,20.91,3.3,674.0,0,70.81527877180986,2380.657330769982,0.0013861717758988324,204.24242424242425,0,-1,1
263,13.85,20.57,1.5,284.0,0,-109.497852304069,3099.0152963091755,0.00048402471642732784,189.33333333333334,1,-1,1
262,13.86,27.51,2.1,268.0,0,-195.39347527877607,4150.562255038366,0.0005059555479383091,127.61904761904762,1,-1,1
231,14.33,28.46,4.6,670.0,0,-84.62523767338871,4590.047268140432,0.0010021683288380602,145.6521739130435,0,-1,1
240,14.3,28.44,4.6,708.0,0,-46.62523767338871,4567.636643118622,0.0010070853615140633,153.91304347826087,0,-1,1
47,12.03,25.07,2.4,560.0,0,61.6587132338704,2849.5446736652093,0.0008422398224460944,233.33333333333334,0,-1,1
248,14.84,25.72,4.4,822.0,0,90.67330331818016,4448.654187204159,0.0009890631671609575,186.8181818181818,0,-1,1
246,14.58,28.9,4.8,658.0,0,-119.92377866495781,4825.060598693434,0.000994806158766126,137.08333333333334,0,-1,1
249,14.82,29.38,5.06,777.0,0,-31.21188195399759,5068.017199656017,0.0009984180796275592,153.55731225296444,0,-1,1
255,12.62,21.9,1.46,246.0,0,-142.8381441057552,2739.382682875664,0.0005329667917982772,168.49315068493152,1,-1,1
1,10.57,15.67,1.4,421.0,0,39.15141819171549,1375.0194849345153,0.0010181673898727874,300.7142857142857,1,-1,1
148,13.9,19.49,2.7,720.0,0,186.7109017465168,2957.544725633909,0.0009129194147423392,266.66666666666663,0,-1,1
234,14.25,28.39,4.6,702.0,0,-52.62523767338871,4527.7767242134505,0.001015951156646112,152.60869565217394,0,-1,1
245,14.58,25.34,4.3,726.0,0,6.322573813964709,4230.693272349192,0.0010163818842892204,168.8372093023256,0,-1,1
258,13.05,22.65,1.6,253.0,0,-152.1471227998535,3029.556881853163,0.0005281300409257506,158.125,1,-1,1
259,13.65,27.08,2.0,265.0,0,-186.74420478299157,3962.8154190337386,0.0005046916872266698,132.5,1,-1,1
7,11.12,16.46,1.6,0.0,0,-405.1471227998535,1598.5612702779808,0.0010009000153755564,0.0,1,-1,1
247,14.84,22.08,3.9,792.0,0,118.91965579710279,3819.062381550071,0.0010211930600665072,203.0769230769231,0,-1,1
253,11.55,22.96,1.4,230.0,0,-151.8485818082845,2405.612842190741,0.0005819722839212354,164.2857142857143,1,-1,1
256,13.08,26.06,1.8,251.0,0,-177.44566379142253,3501.706809559848,0.0005140350400227407,139.44444444444443,1,-1,1
257,13.1,19.4,1.4,253.0,0,-128.8485818082845,2614.77426912034,0.0005354190671575588,180.71428571428572,1,-1,1
261,13.56,23.59,1.8,261.0,0,-167.44566379142253,3406.725970722365,0.0005283665359260834,145.0,1,-1,1
2,10.59,18.34,1.7,476.0,0,59.20360670436196,1615.4039218345354,0.001052368374882607,280.0,1,-1,1
10,11.23,16.77,1.7,517.0,0,100.20360670436196,1661.049047482976,0.0010234496100979362,304.11764705882354,0,-1,1
4,11.02,16.32,1.6,465.0,0,59.85287720014651,1556.586375435144,0.0010278902766013996,290.625,1,-1,1
254,12.1,17.99,1.2,246.0,0,-112.55004081671547,2068.6727104033366,0.0005800820951353062,205.0,1,-1,1
57,12.31,24.44,2.9,,1,,,,,1,1,1
91,12.4,18.65,2.4,,1,,,,,1,1,1
