ID,diametro,altura,massa,resistencia,recozido,falha_ensaio,area_secao,volume,densidade_aparente,resistencia_especifica,resistencia_prevista,residuo,defeito_estatistico,anomalia,defeito,suspeito
335,17.38,32.8,8.2,1225.0,0,0,237.24082498775215,7781.49905959827,0.001053781531964014,149.39024390243904,1337.671127677612,-112.67112767761205,0.0,1.0,1,1
284,13.41,25.07,3.8,818.0,0,0,141.23665946725268,3540.8030528440245,0.0010732028704470826,215.26315789473685,927.0103068680935,-109.0103068680935,1.0,0.0,1,1
338,17.33,32.8,8.25,1298.0,0,0,235.87776647517583,7736.790740385766,0.0010663336099986911,157.33333333333334,1342.3377279140839,-44.33772791408387,0.0,1.0,1,1
287,13.36,25.03,3.8,806.0,0,0,140.18540402554518,3508.840662759396,0.001082978785651564,212.10526315789474,927.0103068680935,-121.0103068680935,1.0,0.0,1,1
278,13.12,24.41,3.5,780.0,0,0,135.1940416175217,3300.0865558837045,0.001060578242640294,222.85714285714286,899.0107054492627,-119.01070544926267,1.0,0.0,1,1
283,13.41,22.39,3.4,814.0,0,0,141.23665946725268,3162.288805471788,0.0010751706150674456,239.41176470588235,889.677504976319,-75.67750497631903,1.0,0.0,1,1
282,13.38,18.43,2.8,817.0,0,0,140.60543496333014,2591.3581663741743,0.001080514471651658,291.7857142857143,833.6783021386574,-16.678302138657386,1.0,0.0,1,1
344,18.05,34.05,9.03,1278.0,0,0,255.88468513029716,8712.873528686618,0.001036397460639049,141.52823920265783,1415.1366916030438,-137.1366916030438,0.0,1.0,1,1
270,12.5,17.15,2.2,753.0,0,0,122.7184630308513,2104.6216409790995,0.001045318530021638,342.27272727272725,777.6790993009959,-24.67909930099586,1.0,1.0,1,1
340,17.38,23.2,7.3,1210.0,0,0,237.24082498775215,5503.9871397158495,0.0013263112385064316,165.75342465753425,1253.6723234211195,-43.67232342111947,0.0,1.0,1,1
271,12.4,20.8,2.7,714.0,0,0,120.76282160399167,2511.8666893630266,0.0010748978086431336,264.4444444444444,824.3451016657139,-110.34510166571386,1.0,0.0,1,1
285,13.3,18.4,2.8,814.0,0,0,138.92908112337463,2556.295092670093,0.0010953352013344255,290.7142857142857,833.6783021386574,-19.678302138657386,1.0,0.0,1,1
274,13.15,21.87,3.2,787.0,0,0,135.81301391009526,2970.2306142137836,0.0010773574229174915,245.9375,871.0111040304319,-84.01110403043185,1.0,0.0,1,1
281,13.07,24.41,3.6,787.0,0,0,134.16556272255278,3274.981386057513,0.0010992428889294392,218.61111111111111,908.3439059222062,-121.3439059222062,1.0,0.0,1,1
319,16.09,22.17,5.7,1107.0,0,0,203.33023826545494,4507.831382345136,0.0012644661072115468,194.21052631578948,1104.341115854022,2.658884145977936,0.0,1.0,1,1
304,16.11,30.19,4.6,967.0,0,0,203.83603468268285,6153.809887070195,0.0007475044053059041,210.21739130434784,1001.6759106516422,-34.6759106516422,0.0,1.0,1,1
272,12.33,23.17,3.0,655.0,0,0,119.40321884333432,2766.5725806000564,0.0010843742257249272,218.33333333333334,852.3447030845446,-197.34470308454456,1.0,0.0,1,1
273,13.04,18.13,2.5,762.0,0,0,133.55036034116353,2421.2680329852947,0.0010325168324787377,304.8,805.6787007198266,-43.678700719826566,1.0,1.0,1,1
343,18.1,30.37,8.2,1289.0,0,0,257.30429231063806,7814.331357474078,0.0010493540169827897,157.19512195121953,1337.671127677612,-48.67112767761205,0.0,1.0,1,1
286,13.49,22.33,3.4,775.0,0,0,142.92683631488399,3191.5562549113592,0.001065311004550797,227.94117647058823,889.677504976319,-114.67750497631903,1.0,0.0,1,1
276,13.14,18.09,2.6,777.0,0,0,135.60653273293806,2453.1221771388496,0.00105987383108348,298.8461538461538,815.0119011927702,-38.01190119277021,1.0,0.0,1,1
