ID,massa,resistencia,grupo_final
344,9.03,1278.0,outlier
270,2.2,753.0,outlier
340,7.3,1210.0,outlier
304,4.6,967.0,outlier
272,3.0,655.0,outlier
277,2.1,784.0,outlier
