ID,Diâmetro (mm),Altura (mm),Massa (g),Resistência (kgf),Recozidos,diametro,altura,massa,resistencia,recozimento,resistencia_original,falha_ensaio,raio,volume,densidade_aparente,grupo,residuo,predicao,anomalia,grupo_final,suspeito
408,12.4,19.21,2.9,1021,SIM,12.4,19.21,2.9,1021.0,1,1021.0,0,6.2,2319.85380301268,0.0012500787748925,,177.98849738839863,843.0115026116014,1,recozido,0
409,12.46,21.97,3.3,924,SIM,12.46,21.97,3.3,924.0,1,924.0,0,6.23,2678.897043454201,0.0012318502527237,,43.655695496624276,880.3443045033757,1,recozido,0
410,12.43,23.33,3.5,918,SIM,12.43,23.33,3.5,918.0,1,918.0,0,6.215,2831.045683355496,0.0012362923073186,,18.989294550736986,899.010705449263,1,recozido,0
411,12.42,24.62,3.7,848,SIM,12.42,24.62,3.7,848.0,1,848.0,0,6.21,2982.7793078716786,0.0012404538244702,,-69.6771063951503,917.6771063951503,1,recozido,0
416,14.68,21.34,3.9,1073,SIM,14.68,21.34,3.9,1073.0,1,1073.0,0,7.34,3611.9057368396197,0.0010797623980664,,136.65649265896252,936.3435073410375,1,recozido,0
417,14.74,24.21,4.5,1087,SIM,14.74,24.21,4.5,1087.0,1,1087.0,0,7.37,4131.232506679727,0.0010892633113057,,94.65728982130088,992.3427101786991,1,recozido,0
418,14.77,25.59,4.7,1059,SIM,14.77,25.59,4.7,1059.0,1,1059.0,0,7.385,4384.510938325578,0.0010719553596996,,47.9908888754137,1011.0091111245863,1,recozido,0
419,14.77,27.31,5.0,1101,SIM,14.77,27.31,5.0,1101.0,1,1101.0,0,7.385,4679.21038396528,0.0010685563566737,,61.991287456582995,1039.008712543417,1,recozido,0
420,15.25,22.13,4.4,1170,SIM,15.25,22.13,4.4,1170.0,1,1170.0,0,7.625,4042.136569101385,0.0010885332360203,,186.9904902942444,983.0095097057556,1,recozido,0
421,15.23,25.16,5.0,1145,SIM,15.23,25.16,5.0,1145.0,1,1145.0,0,7.615,4583.532602432553,0.0010908616636317,,105.991287456583,1039.008712543417,1,recozido,0
422,15.36,26.77,5.5,1192,SIM,15.36,26.77,5.5,1192.0,1,1192.0,0,7.68,4960.445517197402,0.0011087713756621,,106.32528509186477,1085.6747149081352,1,recozido,0
423,15.41,28.22,5.7,1199,SIM,15.41,28.22,5.7,1199.0,1,1199.0,0,7.705,5263.22781106669,0.0010829856135079,,94.65888414597748,1104.3411158540225,1,recozido,0
424,15.93,22.71,4.9,1295,SIM,15.93,22.71,4.9,1295.0,1,1295.0,0,7.965,4526.25030602448,0.0010825738014263,,265.3244879295264,1029.6755120704736,1,recozido,0
425,15.86,26.03,5.6,1256,SIM,15.86,26.03,5.6,1256.0,1,1256.0,0,7.93,5142.453998600799,0.0010889742526668,,160.99208461892113,1095.0079153810789,1,recozido,0
426,15.81,27.82,5.8,1242,SIM,15.81,27.82,5.8,1242.0,1,1242.0,0,7.905,5461.485021223092,0.0010619822223189,,128.32568367303406,1113.674316326966,1,recozido,0
427,15.85,29.35,6.3,1273,SIM,15.85,29.35,6.3,1273.0,1,1273.0,0,7.925,5791.039404555789,0.0010878876070233,,112.65968130831607,1160.340318691684,1,recozido,0
428,16.3,23.3,5.3,1365,SIM,16.3,23.3,5.3,1365.0,1,1365.0,0,8.15,4862.067806170486,0.0010900711819102,,297.99168603775206,1067.008313962248,1,recozido,0
429,16.3,27.7,6.1,1339,SIM,16.3,27.7,6.1,1339.0,1,1339.0,0,8.15,5780.226533515985,0.0010553219609352,,197.32608225420336,1141.6739177457966,1,recozido,0
430,16.3,28.7,6.4,1300,SIM,16.3,28.7,6.4,1300.0,1,1300.0,0,8.15,5988.8989715490525,0.001068643840947,,130.32648083537242,1169.6735191646276,1,recozido,0
431,16.3,30.2,6.8,1329,SIM,16.3,30.2,6.8,1329.0,1,1329.0,0,8.15,6301.907628598655,0.0010790383485059,,121.99367894359784,1207.0063210564022,1,recozido,0
